;test;
Wavenumbers [1/cm];Absorbance;
4499,6121;-0,02308551;
4499,3710;-0,02310588;
4499,1298;-0,02318196;
4498,8887;-0,02325911;
4498,6476;-0,023278;
4498,4065;-0,02323875;
4498,1654;-0,02315678;
4497,9243;-0,02308202;
4497,6832;-0,02309724;
4497,4421;-0,0231719;
4497,2010;-0,02319306;
4496,9598;-0,02314873;
4496,7187;-0,02310662;
4496,4776;-0,0230913;
4496,2365;-0,02308492;
4495,9954;-0,02309891;
4495,7543;-0,02313818;
4495,5132;-0,0231534;
4495,2721;-0,02315566;
4495,0310;-0,02319237;
4494,7899;-0,02320935;
4494,5487;-0,02316385;
4494,3076;-0,02311913;
4494,0665;-0,02311462;
4493,8254;-0,02312071;
4493,5843;-0,02311967;
4493,3432;-0,02310514;
4493,1021;-0,02307662;
4492,8610;-0,02308389;
4492,6199;-0,02312822;
4492,3787;-0,02312802;
4492,1376;-0,02308438;
4491,8965;-0,02306916;
4491,6554;-0,02308502;
4491,4143;-0,02310259;
4491,1732;-0,02314525;
4490,9321;-0,02321347;
4490,6910;-0,02324238;
4490,4499;-0,02321735;
4490,2087;-0,02319306;
4489,9676;-0,02317529;
4489,7265;-0,02313926;
4489,4854;-0,02310917;
4489,2443;-0,02309543;
4489,0032;-0,02307451;
4488,7621;-0,02306764;
4488,5210;-0,02308394;
4488,2799;-0,0230862;
4488,0387;-0,02308728;
4487,7976;-0,02311526;
4487,5565;-0,02313862;
4487,3154;-0,02312836;
4487,0743;-0,02309734;
4486,8332;-0,02307029;
4486,5921;-0,02306833;
4486,3510;-0,02310137;
4486,1099;-0,02313283;
4485,8687;-0,02311084;
4485,6276;-0,02307623;
4485,3865;-0,02308561;
4485,1454;-0,02310613;
4484,9043;-0,02311354;
4484,6632;-0,02312414;
4484,4221;-0,02312935;
4484,1810;-0,02310559;
4483,9399;-0,02306489;
4483,6987;-0,02305772;
4483,4576;-0,02308379;
4483,2165;-0,02309906;
4482,9754;-0,02312704;
4482,7343;-0,02318854;
4482,4932;-0,02322604;
4482,2521;-0,02322456;
4482,0110;-0,02321563;
4481,7699;-0,02320832;
4481,5287;-0,02321293;
4481,2876;-0,0232011;
4481,0465;-0,02313636;
4480,8054;-0,0230644;
4480,5643;-0,02306244;
4480,3232;-0,02313519;
4480,0821;-0,02319369;
4479,8410;-0,0231826;
4479,5999;-0,02316508;
4479,3588;-0,02318668;
4479,1176;-0,02317573;
4478,8765;-0,02310873;
4478,6354;-0,02308291;
