;ALPHA_KS_MATRIX3-2;
Wavelength [nm];Intensity;
569,9847;-0,05922;
570,2258;-0,05855;
570,4670;-0,05774;
570,7081;-0,057266;
570,9492;-0,056964;
571,1903;-0,056634;
571,4314;-0,056386;
571,6725;-0,056086;
571,9136;-0,055598;
572,1547;-0,054994;
572,3958;-0,054318;
572,6370;-0,053655;
572,8781;-0,053203;
573,1192;-0,052926;
573,3603;-0,052582;
573,6014;-0,052137;
573,8425;-0,051773;
574,0836;-0,051554;
574,3247;-0,051252;
574,5658;-0,050779;
574,8070;-0,050393;
575,0481;-0,050097;
575,2892;-0,049649;
575,5303;-0,049066;
575,7714;-0,048468;
576,0125;-0,047936;
576,2536;-0,047597;
576,4947;-0,047362;
576,7358;-0,046887;
576,9770;-0,046044;
577,2181;-0,045086;
577,4592;-0,044346;
577,7003;-0,044003;
577,9414;-0,0439;
578,1825;-0,043815;
578,4236;-0,043595;
578,6647;-0,042912;
578,9058;-0,041865;
579,1470;-0,041141;
579,3881;-0,040901;
579,6292;-0,040655;
579,8703;-0,040153;
580,1114;-0,039591;
580,3525;-0,039159;
580,5936;-0,038821;
580,8347;-0,038424;
581,0758;-0,038058;
581,3170;-0,037908;
581,5581;-0,037704;
581,7992;-0,037154;
582,0403;-0,036439;
582,2814;-0,035818;
582,5225;-0,035348;
582,7636;-0,034999;
583,0047;-0,034714;
583,2458;-0,034414;
583,4870;-0,034116;
583,7281;-0,033815;
583,9692;-0,033333;
584,2103;-0,032713;
584,4514;-0,032248;
584,6925;-0,031819;
584,9336;-0,031185;
585,1747;-0,030611;
585,4158;-0,030307;
585,6570;-0,030124;
585,8981;-0,029831;
586,1392;-0,029344;
586,3803;-0,029;
586,6214;-0,029006;
586,8625;-0,02904;
587,1036;-0,028762;
587,3447;-0,028261;
587,5858;-0,027863;
587,8270;-0,027543;
588,0681;-0,027107;
588,3092;-0,026635;
588,5503;-0,026257;
588,7914;-0,025979;
589,0325;-0,025691;
589,2736;-0,025287;
589,5147;-0,024825;
589,7558;-0,024444;
589,9970;-0,02415;
590,2381;-0,023825;
590,4792;-0,023445;
590,7203;-0,023138;
590,9614;-0,022988;
591,2025;-0,022855;
591,4436;-0,022623;
591,6847;-0,02239;
591,9258;-0,02223;
592,1670;-0,022063;
592,4081;-0,021751;
592,6492;-0,021333;
592,8903;-0,020921;
593,1314;-0,020538;
593,3725;-0,02031;
593,6136;-0,020187;
593,8547;-0,019986;
594,0958;-0,019842;
594,3369;-0,019842;
594,5781;-0,019818;
594,8192;-0,019636;
595,0603;-0,019277;
595,3014;-0,018817;
595,5425;-0,018568;
595,7836;-0,018839;
596,0247;-0,019115;
596,2658;-0,018577;
596,5069;-0,017649;
596,7481;-0,017186;
596,9892;-0,017051;
597,2303;-0,016862;
597,4714;-0,016672;
597,7125;-0,016537;
597,9536;-0,016347;
598,1947;-0,016119;
598,4358;-0,016003;
598,6769;-0,015923;
598,9181;-0,015688;
599,1592;-0,015373;
599,4003;-0,015134;
599,6414;-0,01495;
599,8825;-0,014762;
600,1236;-0,014619;
600,3647;-0,014528;
600,6058;-0,014409;
600,8469;-0,014237;
601,0881;-0,014042;
601,3292;-0,01385;
601,5703;-0,01367;
601,8114;-0,013509;
602,0525;-0,013395;
602,2936;-0,013336;
602,5347;-0,013289;
602,7758;-0,013216;
603,0169;-0,013087;
603,2581;-0,01288;
603,4992;-0,012634;
603,7403;-0,012416;
603,9814;-0,01226;
604,2225;-0,012168;
604,4636;-0,012127;
604,7047;-0,012071;
604,9458;-0,011946;
605,1869;-0,011831;
605,4281;-0,01178;
605,6692;-0,011692;
605,9103;-0,011557;
606,1514;-0,011429;
606,3925;-0,011238;
606,6336;-0,010974;
606,8747;-0,010783;
607,1158;-0,010715;
607,3569;-0,010645;
607,5981;-0,010548;
607,8392;-0,010527;
608,0803;-0,010525;
608,3214;-0,010457;
608,5625;-0,010377;
608,8036;-0,010248;
609,0447;-0,010039;
609,2858;-0,0098893;
609,5269;-0,0098013;
609,7681;-0,0096719;
610,0092;-0,0095453;
610,2503;-0,0094815;
610,4914;-0,0094489;
610,7325;-0,0094;
610,9736;-0,0093298;
611,2147;-0,0092342;
611,4558;-0,0091117;
611,6969;-0,0090355;
611,9381;-0,009014;
612,1792;-0,008971;
612,4203;-0,0089419;
612,6614;-0,0089276;
612,9025;-0,0088073;
613,1436;-0,008609;
613,3847;-0,0084885;
613,6258;-0,0084859;
613,8669;-0,0085308;
614,1081;-0,008516;
614,3492;-0,0083613;
614,5903;-0,0081804;
614,8314;-0,0081618;
615,0725;-0,0082047;
615,3136;-0,008128;
615,5547;-0,0080319;
615,7958;-0,0080155;
616,0369;-0,0080259;
616,2781;-0,0080305;
616,5192;-0,0079927;
616,7603;-0,0079088;
617,0014;-0,0078348;
617,2425;-0,0077691;
617,4836;-0,0076691;
617,7247;-0,0075384;
617,9658;-0,0074255;
618,2069;-0,0073407;
618,4480;-0,007281;
618,6892;-0,0072792;
618,9303;-0,0073148;
619,1714;-0,0073317;
619,4125;-0,0073089;
619,6536;-0,0072744;
619,8947;-0,0072679;
620,1358;-0,00722;
620,3769;-0,0070547;
620,6180;-0,0068743;
620,8592;-0,0068327;
621,1003;-0,0069301;
621,3414;-0,007014;
621,5825;-0,0069632;
621,8236;-0,0068363;
622,0647;-0,0067354;
622,3058;-0,0066203;
622,5469;-0,0065047;
622,7880;-0,0065082;
623,0292;-0,0065856;
623,2703;-0,0066365;
623,5114;-0,0066257;
623,7525;-0,0064953;
623,9936;-0,0062999;
624,2347;-0,0061888;
624,4758;-0,0061842;
624,7169;-0,006204;
624,9580;-0,0061979;
625,1992;-0,0061539;
625,4403;-0,006118;
625,6814;-0,0061421;
625,9225;-0,0061455;
626,1636;-0,0060464;
626,4047;-0,0059198;
626,6458;-0,0058799;
626,8869;-0,0059042;
627,1280;-0,0058425;
627,3692;-0,0056984;
627,6103;-0,0056432;
627,8514;-0,0057026;
628,0925;-0,0057435;
628,3336;-0,0056889;
628,5747;-0,0056548;
628,8158;-0,0057529;
629,0569;-0,005852;
629,2980;-0,0058523;
629,5392;-0,0058014;
629,7803;-0,0057233;
630,0214;-0,0056463;
630,2625;-0,0055931;
630,5036;-0,0055825;
630,7447;-0,0056264;
630,9858;-0,005701;
631,2269;-0,0057974;
631,4680;-0,0058405;
631,7092;-0,0057101;
631,9503;-0,0054371;
632,1914;-0,0052545;
632,4325;-0,005276;
632,6736;-0,0052609;
632,9147;-0,0051097;
633,1558;-0,0050985;
633,3969;-0,0052616;
633,6380;-0,0052912;
633,8792;-0,0051436;
634,1203;-0,005035;
634,3614;-0,0050377;
634,6025;-0,0051251;
634,8436;-0,0052015;
635,0847;-0,0051507;
635,3258;-0,0050782;
635,5669;-0,0051254;
635,8080;-0,0052186;
636,0492;-0,0052396;
636,2903;-0,0051765;
636,5314;-0,0050833;
636,7725;-0,0050171;
637,0136;-0,0049868;
637,2547;-0,0049694;
637,4958;-0,0049436;
637,7369;-0,00491;
637,9780;-0,0049055;
638,2192;-0,0049253;
638,4603;-0,0049381;
638,7014;-0,0049677;
638,9425;-0,0049893;
639,1836;-0,0049604;
639,4247;-0,0049043;
639,6658;-0,0048248;
639,9069;-0,0047601;
640,1480;-0,0047749;
640,3892;-0,0048162;
640,6303;-0,0048008;
640,8714;-0,0047333;
641,1125;-0,0046524;
641,3536;-0,0046097;
641,5947;-0,0046333;
641,8358;-0,0046986;
642,0769;-0,004769;
642,3180;-0,0047829;
642,5591;-0,0047104;
642,8003;-0,0046184;
643,0414;-0,0045594;
643,2825;-0,0045229;
643,5236;-0,0045302;
643,7647;-0,0046119;
644,0058;-0,0046849;
644,2469;-0,0046459;
644,4880;-0,0045386;
644,7291;-0,0044559;
644,9703;-0,0044246;
645,2114;-0,0044235;
645,4525;-0,0044074;
645,6936;-0,0043493;
645,9347;-0,0042965;
646,1758;-0,0043235;
646,4169;-0,0043943;
646,6580;-0,0044028;
646,8991;-0,0043214;
647,1403;-0,0042209;
647,3814;-0,0041918;
647,6225;-0,004225;
647,8636;-0,0042482;
648,1047;-0,0042422;
648,3458;-0,0042022;
648,5869;-0,0040987;
648,8280;-0,003926;
649,0691;-0,0037489;
649,3103;-0,0036652;
649,5514;-0,00367;
649,7925;-0,0036716;
650,0336;-0,0036164;
650,2747;-0,0034955;
650,5158;-0,0033887;
650,7569;-0,0033817;
650,9980;-0,003393;
651,2391;-0,003369;
651,4803;-0,0033552;
651,7214;-0,0033077;
651,9625;-0,0031949;
652,2036;-0,0031065;
652,4447;-0,003098;
652,6858;-0,0031155;
652,9269;-0,0030952;
653,1680;-0,0030089;
653,4091;-0,0028958;
653,6503;-0,002838;
653,8914;-0,0028164;
654,1325;-0,002771;
654,3736;-0,0027128;
654,6147;-0,0026381;
654,8558;-0,0025071;
655,0969;-0,0023746;
655,3380;-0,002327;
655,5791;-0,0022032;
655,8203;-0,0018066;
656,0614;-0,0013853;
656,3025;-0,0013442;
656,5436;-0,0016379;
656,7847;-0,0019402;
657,0258;-0,0020982;
657,2669;-0,002141;
657,5080;-0,0021402;
657,7491;-0,002117;
657,9903;-0,0020619;
658,2314;-0,0020146;
658,4725;-0,0020232;
658,7136;-0,0020839;
658,9547;-0,0021354;
659,1958;-0,0021109;
659,4369;-0,0020199;
659,6780;-0,0019444;
659,9191;-0,0019124;
660,1603;-0,0019027;
660,4014;-0,0018861;
660,6425;-0,0018184;
660,8836;-0,0016889;
661,1247;-0,0014806;
661,3658;-0,0008825;
661,6069;0,0012424;
661,8480;0,0048951;
662,0891;0,006742;
662,3303;0,0048563;
662,5714;0,0021661;
662,8125;0,0012995;
663,0536;0,0025024;
663,2947;0,0054388;
663,5358;0,0081031;
663,7769;0,0078585;
664,0180;0,0049514;
664,2591;0,0018903;
664,5003;0,0002001;
664,7414;-0,0004533;
664,9825;-0,0007521;
665,2236;-0,0008493;
665,4647;-0,0008225;
665,7058;-0,000831;
665,9469;-0,0009276;
666,1880;-0,0010988;
666,4291;-0,001292;
666,6702;-0,0013708;
666,9114;-0,0012452;
667,1525;-0,0007933;
667,3936;0,000262;
667,6347;0,0017209;
667,8758;0,002663;
668,1169;0,0024524;
668,3580;0,001306;
668,5991;-9,57E-6;
668,8402;-0,000894;
669,0814;-0,001365;
669,3225;-0,001607;
669,5636;-0,0017148;
669,8047;-0,0017896;
670,0458;-0,0019017;
670,2869;-0,0020236;
670,5280;-0,0020921;
670,7691;-0,0020942;
671,0102;-0,0020441;
671,2514;-0,0019917;
671,4925;-0,0020145;
671,7336;-0,0021049;
671,9747;-0,0021619;
672,2158;-0,002167;
672,4569;-0,0021652;
672,6980;-0,002125;
672,9391;-0,0020527;
673,1802;-0,0020585;
673,4214;-0,0021828;
673,6625;-0,0023134;
673,9036;-0,0023411;
674,1447;-0,0022881;
674,3858;-0,0022356;
674,6269;-0,0022369;
674,8680;-0,0022934;
675,1091;-0,0023453;
675,3502;-0,0023492;
675,5914;-0,002335;
675,8325;-0,0023116;
676,0736;-0,0022827;
676,3147;-0,0022951;
676,5558;-0,0023274;
676,7969;-0,002334;
677,0380;-0,0023392;
677,2791;-0,002329;
677,5202;-0,0022622;
677,7614;-0,0022075;
678,0025;-0,0022269;
678,2436;-0,0022522;
678,4847;-0,0022332;
678,7258;-0,0021671;
678,9669;-0,0020412;
679,2080;-0,0018908;
679,4491;-0,0017749;
679,6902;-0,0017294;
679,9314;-0,0017602;
680,1725;-0,0017928;
680,4136;-0,0017412;
680,6547;-0,0016352;
680,8958;-0,0015787;
681,1369;-0,0016225;
681,3780;-0,0017071;
681,6191;-0,0017428;
681,8602;-0,0017051;
682,1014;-0,0015977;
682,3425;-0,0014489;
