;alpha_KS_Matrix7-3sub;
Wavenumbers [1/cm];Absorbance;
4499,6121;-0,001501381;
4499,3710;-0,001425439;
4499,1298;-0,001458583;
4498,8887;-0,001541664;
4498,6476;-0,00159831;
4498,4065;-0,001600767;
4498,1654;-0,001546605;
4497,9243;-0,001486341;
4497,6832;-0,001447638;
4497,4421;-0,001425764;
4497,2010;-0,001420028;
4496,9598;-0,001413688;
4496,7187;-0,001443717;
4496,4776;-0,001527571;
4496,2365;-0,001572455;
4495,9954;-0,00155647;
4495,7543;-0,001556754;
4495,5132;-0,001604834;
4495,2721;-0,001689303;
4495,0310;-0,001749983;
4494,7899;-0,001715848;
4494,5487;-0,001607918;
4494,3076;-0,001487767;
4494,0665;-0,001423974;
4493,8254;-0,001437834;
4493,5843;-0,001440846;
4493,3432;-0,001420363;
4493,1021;-0,001469908;
4492,8610;-0,001570822;
4492,6199;-0,001592634;
4492,3787;-0,001523846;
4492,1376;-0,00149763;
4491,8965;-0,00155494;
4491,6554;-0,001600556;
4491,4143;-0,001568619;
4491,1732;-0,001533451;
4490,9321;-0,00158878;
4490,6910;-0,001659228;
4490,4499;-0,001643463;
4490,2087;-0,001602233;
4489,9676;-0,001615471;
4489,7265;-0,001630981;
4489,4854;-0,001588582;
4489,2443;-0,001558828;
4489,0032;-0,001589931;
4488,7621;-0,001636298;
4488,5210;-0,001667228;
4488,2799;-0,0016261;
4488,0387;-0,00152119;
4487,7976;-0,001482406;
4487,5565;-0,00152994;
4487,3154;-0,00157177;
4487,0743;-0,001579967;
4486,8332;-0,001590999;
4486,5921;-0,001614572;
4486,3510;-0,001641919;
4486,1099;-0,001664552;
4485,8687;-0,001655183;
4485,6276;-0,001631224;
4485,3865;-0,001612089;
4485,1454;-0,001603206;
4484,9043;-0,001624897;
4484,6632;-0,001635265;
4484,4221;-0,001644599;
4484,1810;-0,001681075;
4483,9399;-0,001686512;
4483,6987;-0,001690651;
4483,4576;-0,00171824;
4483,2165;-0,001705864;
4482,9754;-0,001692002;
4482,7343;-0,001746163;
4482,4932;-0,001836332;
4482,2521;-0,001914869;
4482,0110;-0,00194197;
4481,7699;-0,001869246;
4481,5287;-0,001757519;
4481,2876;-0,001727568;
4481,0465;-0,001744222;
4480,8054;-0,001698628;
4480,5643;-0,001656993;
4480,3232;-0,00172305;
4480,0821;-0,001782713;
4479,8410;-0,001726671;
4479,5999;-0,001663346;
4479,3588;-0,001690845;
4479,1176;-0,001718403;
4478,8765;-0,001669647;
4478,6354;-0,001676167;
4478,3943;-0,00181408;
4478,1532;-0,001892074;
4477,9121;-0,001788486;
4477,6710;-0,001668043;
4477,4299;-0,001643192;
4477,1888;-0,001642184;
4476,9476;-0,001675248;
4476,7065;-0,001731412;
4476,4654;-0,001695468;
4476,2243;-0,001605989;
4475,9832;-0,001570775;
4475,7421;-0,001616125;
4475,5010;-0,00172786;
4475,2599;-0,00182574;
4475,0188;-0,001861496;
4474,7776;-0,001870512;
4474,5365;-0,001858361;
4474,2954;-0,001832674;
4474,0543;-0,001810049;
4473,8132;-0,001767165;
4473,5721;-0,001723764;
4473,3310;-0,001728515;
4473,0899;-0,001776387;
4472,8488;-0,001825192;
4472,6076;-0,001848556;
4472,3665;-0,001845371;
4472,1254;-0,00182543;
4471,8843;-0,00181071;
4471,6432;-0,001801284;
4471,4021;-0,001802979;
4471,1610;-0,00181085;
4470,9199;-0,001790795;
4470,6788;-0,001793483;
4470,4376;-0,001855742;
4470,1965;-0,001893883;
4469,9554;-0,001878547;
4469,7143;-0,001864712;
4469,4732;-0,001854224;
4469,2321;-0,001822906;
4468,9910;-0,001814279;
4468,7499;-0,001851638;
4468,5088;-0,001873639;
4468,2676;-0,001855871;
4468,0265;-0,00185977;
4467,7854;-0,001888022;
4467,5443;-0,001845866;
4467,3032;-0,0017583;
4467,0621;-0,001759382;
4466,8210;-0,001835779;
4466,5799;-0,001888107;
4466,3388;-0,001907965;
4466,0977;-0,001905979;
4465,8565;-0,001859197;
4465,6154;-0,001812704;
4465,3743;-0,001821546;
4465,1332;-0,001835743;
4464,8921;-0,001814938;
4464,6510;-0,001801848;
4464,4099;-0,001820952;
4464,1688;-0,001835083;
4463,9277;-0,001827692;
4463,6865;-0,001828182;
