;test;
Wavenumbers [1/cm];Absorbance;
4499,6121;0,01592724;
4499,3710;0,0159302;
4499,1298;0,01593363;
4498,8887;0,01594507;
4498,6476;0,01596768;
4498,4065;0,01598788;
4498,1654;0,01598785;
4497,9243;0,01596661;
4497,6832;0,01589411;
4497,4421;0,01579273;
4497,2010;0,01576473;
4496,9598;0,01580701;
4496,7187;0,01585719;
4496,4776;0,01591024;
4496,2365;0,01592875;
4495,9954;0,01589529;
4495,7543;0,015885;
4495,5132;0,01594451;
4495,2721;0,01602368;
4495,0310;0,01603792;
4494,7899;0,0159842;
4494,5487;0,01592501;
4494,3076;0,01587459;
4494,0665;0,01584253;
4493,8254;0,01584247;
4493,5843;0,01582274;
4493,3432;0,01578583;
4493,1021;0,01582395;
4492,8610;0,01592101;
4492,6199;0,01595931;
4492,3787;0,0159233;
4492,1376;0,01587961;
4491,8965;0,01586412;
4491,6554;0,01587247;
4491,4143;0,0158592;
4491,1732;0,01582441;
4490,9321;0,01583469;
4490,6910;0,01588243;
4490,4499;0,01590127;
4490,2087;0,01589199;
4489,9676;0,01589848;
4489,7265;0,01591801;
4489,4854;0,01591218;
4489,2443;0,01590404;
4489,0032;0,01594467;
4488,7621;0,01600201;
4488,5210;0,01602298;
4488,2799;0,01598697;
4488,0387;0,01590608;
4487,7976;0,0158483;
4487,5565;0,01586073;
4487,3154;0,01590955;
4487,0743;0,01592687;
4486,8332;0,01589274;
4486,5921;0,01585069;
4486,3510;0,01583963;
4486,1099;0,01585483;
4485,8687;0,01586683;
4485,6276;0,01586167;
4485,3865;0,01585166;
4485,1454;0,01587322;
4484,9043;0,01592227;
4484,6632;0,01593344;
4484,4221;0,01591873;
4484,1810;0,01591591;
4483,9399;0,01590385;
4483,6987;0,01590941;
4483,4576;0,01594617;
4483,2165;0,01596221;
4482,9754;0,01595359;
4482,7343;0,01595941;
4482,4932;0,01597531;
4482,2521;0,01598764;
4482,0110;0,01600295;
4481,7699;0,01599282;
4481,5287;0,01595641;
4481,2876;0,01595149;
4481,0465;0,0159553;
4480,8054;0,01591744;
4480,5643;0,01589991;
4480,3232;0,01593165;
4480,0821;0,01592343;
4479,8410;0,01586677;
4479,5999;0,01584747;
4479,3588;0,01586957;
4479,1176;0,01587249;
4478,8765;0,01585134;
4478,6354;0,01586393;
4478,3943;0,01591733;
4478,1532;0,01592297;
4477,9121;0,01585762;
4477,6710;0,01582371;
4477,4299;0,01585064;
4477,1888;0,01586723;
4476,9476;0,01588245;
4476,7065;0,01590893;
4476,4654;0,01588925;
4476,2243;0,01585182;
4475,9832;0,01586326;
4475,7421;0,01590173;
4475,5010;0,01592375;
4475,2599;0,01593648;
4475,0188;0,01598133;
4474,7776;0,01605089;
4474,5365;0,01606795;
4474,2954;0,01600843;
4474,0543;0,01593157;
4473,8132;0,01588186;
4473,5721;0,0158686;
4473,3310;0,01588664;
4473,0899;0,01592652;
4472,8488;0,01596516;
4472,6076;0,01596331;
4472,3665;0,01592501;
4472,1254;0,01590729;
4471,8843;0,01592998;
4471,6432;0,01595243;
4471,4021;0,01596787;
4471,1610;0,01598272;
4470,9199;0,01596435;
4470,6788;0,01593511;
4470,4376;0,01594263;
4470,1965;0,01596379;
4469,9554;0,0159791;
4469,7143;0,01598315;
4469,4732;0,01594435;
4469,2321;0,01589843;
4468,9910;0,01592614;
4468,7499;0,01598366;
4468,5088;0,01596989;
4468,2676;0,01590412;
4468,0265;0,0158654;
4467,7854;0,01587034;
4467,5443;0,01587131;
4467,3032;0,01583864;
4467,0621;0,01582196;
4466,8210;0,01586927;
4466,5799;0,01595176;
4466,3388;0,01601076;
4466,0977;0,01600297;
4465,8565;0,01593774;
4465,6154;0,0158947;
4465,3743;0,01592472;
4465,1332;0,01596862;
4464,8921;0,01594966;
4464,6510;0,01588836;
4464,4099;0,01585303;
4464,1688;0,01586946;
4463,9277;0,01592362;
4463,6865;0,01597671;
4463,4454;0,01599817;
4463,2043;0,01599427;
4462,9632;0,01597937;
4462,7221;0,01597684;
4462,4810;0,01599929;
4462,2399;0,01598823;
4461,9988;0,01589913;
4461,7577;0,01582731;
4461,5165;0,01586527;
4461,2754;0,01593737;
4461,0343;0,01594276;
4460,7932;0,01589733;
4460,5521;0,01586108;
4460,3110;0,0158592;
4460,0699;0,01587434;
4459,8288;0,01587319;
4459,5877;0,01587174;
4459,3465;0,01590638;
4459,1054;0,01593669;
4458,8643;0,01594008;
4458,6232;0,01597467;
4458,3821;0,01602134;
4458,1410;0,0159777;
4457,8999;0,01586178;
4457,6588;0,01580862;
4457,4177;0,01585738;
4457,1765;0,01592692;
4456,9354;0,01595957;
4456,6943;0,01598009;
4456,4532;0,01601412;
4456,2121;0,0160229;
4455,9710;0,01599312;
4455,7299;0,0159578;
4455,4888;0,01594182;
4455,2477;0,01594744;
4455,0065;0,01593221;
4454,7654;0,0158708;
4454,5243;0,01580709;
4454,2832;0,01579453;
4454,0421;0,01583413;
4453,8010;0,01590571;
4453,5599;0,0159904;
4453,3188;0,01601718;
4453,0777;0,01597297;
4452,8365;0,01596556;
4452,5954;0,01601541;
4452,3543;0,01602921;
4452,1132;0,01599425;
4451,8721;0,0159704;
4451,6310;0,01596486;
4451,3899;0,01595009;
4451,1488;0,01591586;
4450,9077;0,01587244;
4450,6666;0,01585351;
4450,4254;0,01587161;
4450,1843;0,01589464;
4449,9432;0,01590839;
4449,7021;0,01593704;
4449,4610;0,01596774;
4449,2199;0,01597526;
4448,9788;0,01597058;
4448,7377;0,01594945;
4448,4966;0,01591951;
4448,2554;0,01593361;
4448,0143;0,01599782;
4447,7732;0,0160279;
4447,5321;0,01600292;
4447,2910;0,0159951;
4447,0499;0,01598917;
4446,8088;0,01595461;
4446,5677;0,0159429;
4446,3266;0,0159621;
4446,0854;0,01597459;
4445,8443;0,01598326;
4445,6032;0,01599929;
4445,3621;0,01600061;
4445,1210;0,01598229;
4444,8799;0,01595136;
4444,6388;0,01589247;
4444,3977;0,01584108;
4444,1566;0,01585225;
4443,9154;0,01587695;
4443,6743;0,0158439;
4443,4332;0,01580494;
4443,1921;0,0158338;
4442,9510;0,01588457;
4442,7099;0,01590119;
4442,4688;0,01593288;
4442,2277;0,01599212;
4441,9866;0,01600558;
4441,7454;0,0159864;
4441,5043;0,01597058;
4441,2632;0,01595197;
4441,0221;0,01597665;
4440,7810;0,01604122;
4440,5399;0,01608662;
4440,2988;0,01609027;
4440,0577;0,01604563;
4439,8166;0,01599653;
4439,5754;0,01598498;
4439,3343;0,01598055;
4439,0932;0,01596827;
4438,8521;0,01597005;
4438,6110;0,01597687;
4438,3699;0,01596164;
4438,1288;0,01591927;
4437,8877;0,01587805;
4437,6466;0,01588688;
4437,4055;0,01594266;
4437,1643;0,01599161;
4436,9232;0,01601442;
4436,6821;0,01600636;
4436,4410;0,01595963;
4436,1999;0,01592791;
4435,9588;0,01595286;
4435,7177;0,01597827;
4435,4766;0,01594838;
4435,2355;0,01588425;
4434,9943;0,01585198;
4434,7532;0,01588648;
4434,5121;0,01594497;
4434,2710;0,01595812;
4434,0299;0,01591164;
4433,7888;0,01586688;
4433,5477;0,01588189;
4433,3066;0,01595606;
4433,0655;0,01604536;
4432,8243;0,01608675;
4432,5832;0,01605613;
4432,3421;0,01599454;
4432,1010;0,01596038;
4431,8599;0,01597547;
4431,6188;0,01602827;
4431,3777;0,0160889;
4431,1366;0,01610461;
4430,8955;0,01604049;
4430,6543;0,01593804;
4430,4132;0,01591714;
4430,1721;0,01600515;
4429,9310;0,01606886;
4429,6899;0,01606096;
4429,4488;0,01605658;
4429,2077;0,01605548;
4428,9666;0,01603115;
4428,7255;0,01601224;
4428,4843;0,01600386;
4428,2432;0,01599932;
4428,0021;0,01600848;
4427,7610;0,01602946;
4427,5199;0,01607028;
4427,2788;0,01612229;
4427,0377;0,01613597;
4426,7966;0,01608863;
4426,5555;0,01601334;
4426,3143;0,01595098;
4426,0732;0,01592861;
4425,8321;0,01595294;
4425,5910;0,01597064;
4425,3499;0,01593994;
4425,1088;0,01589148;
4424,8677;0,01586068;
4424,6266;0,01587539;
4424,3855;0,01593516;
4424,1443;0,01600093;
4423,9032;0,01604463;
4423,6621;0,01606244;
4423,4210;0,01606198;
4423,1799;0,01603854;
4422,9388;0,0159983;
4422,6977;0,01598014;
4422,4566;0,01600029;
4422,2155;0,01601117;
4421,9744;0,01597939;
4421,7332;0,01594666;
4421,4921;0,01595525;
4421,2510;0,01600241;
4421,0099;0,01605277;
4420,7688;0,01606913;
4420,5277;0,01605752;
4420,2866;0,01606134;
4420,0455;0,01609562;
4419,8044;0,0161051;
4419,5632;0,01606201;
4419,3221;0,01600958;
4419,0810;0,01599666;
4418,8399;0,01603977;
4418,5988;0,0160878;
4418,3577;0,0160957;
4418,1166;0,01608036;
4417,8755;0,01604783;
4417,6344;0,01601509;
4417,3932;0,01601162;
4417,1521;0,01600955;
4416,9110;0,01599991;
4416,6699;0,01602365;
4416,4288;0,01603902;
4416,1877;0,01598836;
4415,9466;0,01594679;
4415,7055;0,01597789;
4415,4644;0,01602774;
4415,2232;0,01606515;
4414,9821;0,01609758;
4414,7410;0,01610467;
4414,4999;0,01609107;
4414,2588;0,016063;
4414,0177;0,01602553;
4413,7766;0,01602596;
4413,5355;0,01605551;
4413,2944;0,01605213;
4413,0532;0,01600179;
4412,8121;0,01593911;
4412,5710;0,01592343;
4412,3299;0,01598205;
4412,0888;0,01606486;
4411,8477;0,01609927;
4411,6066;0,01606824;
4411,3655;0,0160294;
4411,1244;0,01602881;
4410,8832;0,01604939;
4410,6421;0,01608167;
4410,4010;0,01611058;
4410,1599;0,01610738;
4409,9188;0,01608922;
4409,6777;0,01607082;
4409,4366;0,01605403;
4409,1955;0,01605527;
4408,9544;0,0160673;
4408,7133;0,01608003;
4408,4721;0,0160965;
4408,2310;0,01610077;
4407,9899;0,01608084;
4407,7488;0,01606335;
4407,5077;0,01606548;
4407,2666;0,01607214;
4407,0255;0,01607558;
4406,7844;0,0160821;
4406,5433;0,0161058;
4406,3021;0,01611633;
4406,0610;0,01607219;
4405,8199;0,01603483;
4405,5788;0,01606797;
4405,3377;0,01611052;
4405,0966;0,01609852;
4404,8555;0,01608358;
4404,6144;0,01611292;
4404,3733;0,01612544;
4404,1321;0,01608987;
4403,8910;0,01605656;
4403,6499;0,01604369;
4403,4088;0,01603829;
4403,1677;0,0160547;
4402,9266;0,01610558;
4402,6855;0,01617183;
4402,4444;0,01619884;
4402,2033;0,01616372;
4401,9621;0,01612055;
4401,7210;0,01609865;
4401,4799;0,01611257;
4401,2388;0,01618656;
4400,9977;0,01624737;
4400,7566;0,01623087;
4400,5155;0,01618433;
4400,2744;0,01612694;
4400,0333;0,01603655;
4399,7921;0,01598476;
4399,5510;0,01604922;
4399,3099;0,01614051;
4399,0688;0,01614808;
4398,8277;0,01610456;
4398,5866;0,01607216;
4398,3455;0,01607617;
4398,1044;0,01612189;
4397,8633;0,01616087;
4397,6221;0,01614752;
4397,3810;0,01611488;
4397,1399;0,01609752;
4396,8988;0,01607482;
4396,6577;0,01603792;
4396,4166;0,01602752;
4396,1755;0,01607233;
4395,9344;0,01613648;
4395,6933;0,01618143;
4395,4521;0,01620185;
4395,2110;0,01618699;
4394,9699;0,01614088;
4394,7288;0,0160994;
4394,4877;0,01608828;
4394,2466;0,01609253;
4394,0055;0,01608954;
4393,7644;0,01610701;
4393,5233;0,01616283;
4393,2822;0,01618615;
4393,0410;0,01613116;
4392,7999;0,0160828;
4392,5588;0,01608944;
4392,3177;0,01609604;
4392,0766;0,0161077;
4391,8355;0,01615555;
4391,5944;0,01619972;
4391,3533;0,01618879;
4391,1122;0,01613779;
4390,8710;0,0161109;
4390,6299;0,01612965;
4390,3888;0,01615816;
4390,1477;0,01614228;
4389,9066;0,01609296;
4389,6655;0,01609132;
4389,4244;0,01611901;
4389,1833;0,01608817;
4388,9422;0,0160366;
4388,7010;0,01605994;
4388,4599;0,01612261;
4388,2188;0,01612248;
4387,9777;0,0160698;
4387,7366;0,01603485;
4387,4955;0,01602916;
4387,2544;0,01604627;
4387,0133;0,01611171;
4386,7722;0,01621418;
4386,5310;0,01627136;
4386,2899;0,01624229;
4386,0488;0,01616168;
4385,8077;0,01607582;
4385,5666;0,01602715;
4385,3255;0,0160258;
4385,0844;0,01605156;
4384,8433;0,0161037;
4384,6022;0,01616667;
4384,3610;0,01619255;
4384,1199;0,01616235;
4383,8788;0,016099;
4383,6377;0,0160535;
4383,3966;0,01607504;
4383,1555;0,01614333;
4382,9144;0,01618382;
4382,6733;0,01618116;
4382,4322;0,01618164;
4382,1910;0,01619088;
4381,9499;0,01616686;
4381,7088;0,01609578;
4381,4677;0,01603507;
4381,2266;0,01604334;
4380,9855;0,01611079;
4380,7444;0,01618951;
4380,5033;0,01621843;
4380,2622;0,01617181;
4380,0211;0,01610252;
4379,7799;0,01608457;
4379,5388;0,01614094;
4379,2977;0,01620829;
4379,0566;0,01622186;
4378,8155;0,01621426;
4378,5744;0,01622262;
4378,3333;0,01622299;
4378,0922;0,016198;
4377,8511;0,01616654;
4377,6099;0,01615861;
4377,3688;0,01616856;
4377,1277;0,01617385;
4376,8866;0,01618035;
4376,6455;0,01619301;
4376,4044;0,01621034;
4376,1633;0,01621528;
4375,9222;0,01618916;
4375,6811;0,01616759;
4375,4399;0,01616904;
4375,1988;0,01617675;
4374,9577;0,01619628;
4374,7166;0,01620453;
4374,4755;0,01617543;
4374,2344;0,01612154;
4373,9933;0,01607114;
4373,7522;0,01607214;
4373,5111;0,01613293;
4373,2699;0,01618782;
4373,0288;0,01616888;
4372,7877;0,01610397;
4372,5466;0,01609586;
4372,3055;0,01615039;
4372,0644;0,01618019;
4371,8233;0,01617702;
4371,5822;0,01619771;
4371,3411;0,01623347;
4371,0999;0,01622767;
4370,8588;0,01620456;
4370,6177;0,01622066;
4370,3766;0,01624121;
4370,1355;0,01623283;
4369,8944;0,01621332;
4369,6533;0,01618113;
4369,4122;0,01614572;
4369,1711;0,01613476;
4368,9299;0,01614994;
4368,6888;0,01616729;
4368,4477;0,01615695;
4368,2066;0,01614341;
4367,9655;0,01618484;
4367,7244;0,016264;
4367,4833;0,01631082;
4367,2422;0,01631923;
4367,0011;0,01630923;
4366,7599;0,01626849;
4366,5188;0,01623014;
4366,2777;0,0162238;
4366,0366;0,01621576;
4365,7955;0,01619997;
4365,5544;0,01619757;
4365,3133;0,01621982;
4365,0722;0,01626212;
4364,8311;0,01626685;
4364,5900;0,01620316;
4364,3488;0,01614244;
4364,1077;0,01613669;
4363,8666;0,01616015;
4363,6255;0,01618817;
4363,3844;0,01620746;
4363,1433;0,01622369;
4362,9022;0,01625916;
4362,6611;0,01629947;
4362,4200;0,01630953;
4362,1788;0,01628252;
4361,9377;0,01625212;
4361,6966;0,01624269;
4361,4555;0,01623156;
4361,2144;0,01622479;
4360,9733;0,01626274;
4360,7322;0,01630394;
4360,4911;0,01629052;
4360,2500;0,01627101;
4360,0088;0,01627144;
4359,7677;0,01625656;
4359,5266;0,01623723;
4359,2855;0,01623718;
4359,0444;0,01625583;
4358,8033;0,0162812;
4358,5622;0,01630845;
4358,3211;0,01633143;
4358,0800;0,01632076;
4357,8388;0,0162737;
4357,5977;0,01622568;
4357,3566;0,01620015;
4357,1155;0,0162012;
4356,8744;0,01621356;
