;SUBTRACT_4-6;
Wavenumbers [1/cm];Absorbance;
4499,6121;0,01147964;
4499,3710;0,01141336;
4499,1298;0,01143276;
4498,8887;0,01149528;
4498,6476;0,01153665;
4498,4065;0,01155633;
4498,1654;0,01155178;
4497,9243;0,01152551;
4497,6832;0,01151979;
4497,4421;0,01152623;
4497,2010;0,01147412;
4496,9598;0,01140926;
4496,7187;0,01144472;
4496,4776;0,01152739;
4496,2365;0,01155416;
4495,9954;0,01157391;
4495,7543;0,01162473;
4495,5132;0,01164747;
4495,2721;0,01165406;
4495,0310;0,01167629;
4494,7899;0,01165364;
4494,5487;0,01156445;
4494,3076;0,01148802;
4494,0665;0,0114992;
4493,8254;0,01155266;
4493,5843;0,01155163;
4493,3432;0,01151465;
4493,1021;0,0115147;
4492,8610;0,01155965;
4492,6199;0,01157881;
4492,3787;0,01152125;
4492,1376;0,01146311;
4491,8965;0,01149129;
4491,6554;0,01156493;
4491,4143;0,01160269;
4491,1732;0,011634;
4490,9321;0,01170653;
4490,6910;0,01173344;
4490,4499;0,01165189;
4490,2087;0,0115689;
4489,9676;0,01157526;
4489,7265;0,01161504;
4489,4854;0,01162279;
4489,2443;0,0116172;
4489,0032;0,01161649;
4488,7621;0,01162377;
4488,5210;0,01163125;
4488,2799;0,01158192;
4488,0387;0,01152198;
4487,7976;0,01157126;
4487,5565;0,01165946;
4487,3154;0,01166613;
4487,0743;0,01164341;
4486,8332;0,01168623;
4486,5921;0,01176463;
4486,3510;0,01179864;
4486,1099;0,0117856;
4485,8687;0,01176041;
4485,6276;0,01174658;
4485,3865;0,01171421;
4485,1454;0,01163351;
4484,9043;0,0115887;
4484,6632;0,01163488;
4484,4221;0,01170922;
4484,1810;0,01174299;
4483,9399;0,01173567;
4483,6987;0,01175253;
4483,4576;0,01178117;
4483,2165;0,01176189;
4482,9754;0,01174002;
4482,7343;0,01174471;
4482,4932;0,01178441;
4482,2521;0,01189308;
4482,0110;0,01197206;
4481,7699;0,01191645;
4481,5287;0,01181887;
4481,2876;0,01178504;
4481,0465;0,01178307;
4480,8054;0,01175965;
4480,5643;0,0117563;
4480,3232;0,01181046;
4480,0821;0,01184225;
4479,8410;0,01179505;
4479,5999;0,01174724;
4479,3588;0,01177421;
4479,1176;0,01181159;
4478,8765;0,01179224;
4478,6354;0,01180221;
4478,3943;0,01189964;
4478,1532;0,01195498;
4477,9121;0,01185657;
4477,6710;0,01170969;
4477,4299;0,01165028;
4477,1888;0,01167466;
4476,9476;0,01174814;
4476,7065;0,01178926;
4476,4654;0,01172832;
4476,2243;0,01164212;
4475,9832;0,01160002;
4475,7421;0,01163539;
4475,5010;0,01176369;
4475,2599;0,01187162;
4475,0188;0,0118744;
4474,7776;0,01182798;
4474,5365;0,01179581;
4474,2954;0,01181802;
4474,0543;0,01186101;
4473,8132;0,01184021;
4473,5721;0,01178424;
4473,3310;0,01175801;
4473,0899;0,01175614;
4472,8488;0,01178546;
4472,6076;0,01186981;
4472,3665;0,01195532;
4472,1254;0,0119508;
4471,8843;0,01189016;
4471,6432;0,01187472;
4471,4021;0,0118939;
4471,1610;0,01187733;
4470,9199;0,01183607;
4470,6788;0,01183095;
4470,4376;0,01185263;
4470,1965;0,01185538;
4469,9554;0,01185205;
4469,7143;0,01187483;
4469,4732;0,01189326;
4469,2321;0,01184789;
4468,9910;0,0117721;
4468,7499;0,01176293;
4468,5088;0,01183844;
4468,2676;0,0119268;
4468,0265;0,01199061;
4467,7854;0,0120215;
4467,5443;0,01195903;
4467,3032;0,01185248;
4467,0621;0,01185754;
4466,8210;0,01193953;
4466,5799;0,01196488;
4466,3388;0,01195877;
4466,0977;0,01196579;
4465,8565;0,01191992;
4465,6154;0,01184211;
4465,3743;0,01181736;
4465,1332;0,01181304;
4464,8921;0,0118074;
4464,6510;0,01184729;
4464,4099;0,01191951;
4464,1688;0,0119503;
4463,9277;0,0119206;
4463,6865;0,0119048;
4463,4454;0,01194795;
4463,2043;0,01200404;
4462,9632;0,01201496;
4462,7221;0,01198856;
4462,4810;0,01198646;
4462,2399;0,01199475;
4461,9988;0,01196078;
4461,7577;0,01196347;
4461,5165;0,01203805;
4461,2754;0,01205149;
4461,0343;0,01198151;
4460,7932;0,01193192;
4460,5521;0,01191429;
4460,3110;0,01191992;
4460,0699;0,01195151;
4459,8288;0,01194755;
4459,5877;0,01192568;
4459,3465;0,01197183;
4459,1054;0,01203277;
4458,8643;0,01203638;
4458,6232;0,01202704;
4458,3821;0,0120507;
4458,1410;0,01208152;
4457,8999;0,0120673;
4457,6588;0,01201853;
4457,4177;0,01199005;
4457,1765;0,01198454;
4456,9354;0,01196116;
4456,6943;0,01195643;
4456,4532;0,01205777;
4456,2121;0,01217091;
4455,9710;0,01214502;
4455,7299;0,01207457;
4455,4888;0,01209908;
4455,2477;0,0121379;
4455,0065;0,01210187;
4454,7654;0,01206143;
4454,5243;0,01203889;
4454,2832;0,01201028;
4454,0421;0,01202738;
4453,8010;0,01208429;
4453,5599;0,01213611;
4453,3188;0,01218706;
4453,0777;0,01221769;
4452,8365;0,01219975;
4452,5954;0,01215933;
4452,3543;0,01215122;
4452,1132;0,01217517;
4451,8721;0,01213585;
4451,6310;0,0120179;
4451,3899;0,01198123;
4451,1488;0,01208604;
4450,9077;0,01220115;
4450,6666;0,01227252;
4450,4254;0,01231848;
4450,1843;0,01230851;
4449,9432;0,01225618;
4449,7021;0,012226;
4449,4610;0,01222847;
4449,2199;0,01221671;
4448,9788;0,01217626;
4448,7377;0,01215434;
4448,4966;0,01217597;
4448,2554;0,01223012;
4448,0143;0,01230678;
4447,7732;0,01235479;
4447,5321;0,01234721;
